,pos,nega,neu
1337,10,3,2
1338,7,4,2
1339,6,5,4
1340,25,14,13
1341,7,3,2
1342,32,15,17
1343,19,16,12
1344,35,21,12
1345,6,5,2
1346,13,9,4
1347,12,6,4
1348,42,28,26
1349,13,9,6
1350,16,8,11
1351,15,15,6
1352,36,23,18
1353,12,7,5
1354,22,18,14
1355,6,3,0
1356,11,4,4
1357,26,18,11
1358,10,3,4
1359,24,16,15
1360,18,12,8
1361,17,14,7
1362,11,5,3
1363,22,13,8
1364,10,7,5
1365,26,18,9
1366,21,16,18
1367,15,15,5
1368,20,8,2
1369,29,22,18
1370,6,2,4
1371,8,8,3
1372,31,17,13
1373,9,6,2
1374,18,9,6
1375,23,15,7
1376,11,9,6
1377,11,4,1
1378,13,9,6
1379,12,7,4
1380,17,14,8
1381,15,10,10
1382,14,8,3
1383,14,10,10
1384,16,8,1
1385,19,8,7
1386,20,14,9
1387,26,18,11
1388,22,15,12
1389,24,13,9
1390,8,7,1
1391,11,5,7
1392,12,12,8
1393,26,20,16
1394,6,5,3
1395,7,6,5
1396,14,10,5
1397,26,14,10
1398,20,12,10
1399,15,9,5
1400,14,7,3
1401,19,14,11
1402,14,15,5
1403,27,17,18
1404,21,12,6
1405,9,3,0
1406,16,8,5
1407,24,10,5
1408,14,10,9
1409,12,8,6
1410,15,9,6
1411,25,20,10
1412,16,11,10
1413,12,7,5
1414,26,17,11
1415,22,11,5
1416,17,17,12
1417,13,6,6
1418,23,16,8
1419,14,6,3
1420,7,6,5
1421,11,6,9
1422,18,11,7
1423,9,4,5
1424,22,13,2
1425,4,3,1
1426,7,1,1
1427,32,25,15
1428,17,4,2
1429,13,9,3
1430,12,7,4
1431,30,18,14
1432,12,9,8
1433,18,12,6
1434,19,13,12
1435,6,3,0
1436,14,8,5
1437,9,2,1
1438,19,11,8
1439,28,17,13
1440,10,6,6
1441,7,4,2
1442,13,10,9
1443,18,11,11
1444,7,3,2
1445,25,19,15
1446,18,12,5
1447,23,17,12
1448,12,7,5
1449,17,5,0
1450,13,5,4
1451,24,14,12
1452,9,1,0
1453,14,4,3
1454,21,15,16
1455,15,12,7
1456,30,16,12
1457,19,15,11
1458,5,3,2
1459,20,6,2
1460,8,8,5
1461,32,23,13
1462,17,13,10
1463,18,8,7
1464,18,16,13
1465,3,3,1
1466,15,15,4
1467,8,4,5
1468,8,4,3
1469,17,9,4
1470,25,20,14
1471,13,9,6
1472,21,11,10
1473,9,7,6
1474,28,21,14
1475,20,15,8
1476,23,11,7
1477,3,2,1
1478,18,6,5
1479,12,7,5
1480,13,7,4
1481,12,6,13
1482,15,9,16
